标识,中文,英文,原始翻译,比较
zhangHao,账号,Account,account,1
diNUMGuan,第{val1}关,Level {val1},{val1}stage,0
faFangGuanQia,发放关卡,Distribution level,level send out,0
qiShu,期数,Session,period,0
guanQiaXuanZe,关卡选择,Level selection,level selection,1
fanShuiBiLi,返水比例,Rebate ratio,rebate ratio,1
zongYouXiaoTouZhu,总有效投注额,Total valid bet amount,total effective bet,0
xiaZhuCiShu,下注次数,Number of bets,the times of bet,0
fanShuiE,返水额,Rebate amount,rebate amount,1
jieSuanRiQi,结算日期,Settlement date,counting time ,0
zhouZongYouXiaoTou,周总有效投注额,Total weekly valid bet amount,weekly total effective bet,0
huoDongJiangJinRi,活动奖金日期,Event bonus date,promotion bonus date ,0
jiuYuanBiLi,救援比例,Insurance ratio,rescue ratio,0
fuYingLi,负盈利,Loss,profit,0
lingQuZhuangTai,领取状态,Collection status,collecting status,0
hongBaoJinE,红包金额,Red packet amount,red envelope amount,0
liSanBeiShu,离散倍数,Discrete multiplier,discrete multiples,0
fanLiBi,返利比,Rebate percentage,rebate ratio,0
sanFangYongHuLei,三方用户类型,Third-party user type,Third-party user type,1
yinHangKaYongHu,银行卡用户类型,Bank card user type,bank card user type,1
yongHuShuXing,用户属性,User attributes,user characteristic,0
hongBaoGuoQiShi,红包过期时间,Red packet expiration time,red envelope expire time,0
hongBaoFaFangShi,红包发放时间,Red packet distribution time,red envelope release time,0
chongZhiChuangJianShi,充值创建时间,Top-up creation time,deposit creation time ,0
chongZhiDaoZhangJin,充值到账金额,Top-up amount received,cash on time ,0
jiangLi,奖励,Bonus,reward,0
shangJiDaiLi,上级代理,Superior agent,superior affiliate,0
lingQuShiJian,领取时间,Collection Time,collect time,0
dangQianYeHuiZong,当前页汇总/所有页汇总,Current page summary / All page summary,summary of current page/summary of all pages,0
huoDongShiJian,活动时间,Promotion time,promotion time ,0
qingShuRuDaiLi,请输入代理账号,Enter the agent account.,please fill in your affiliate account ,0
daiLiZhangHao,代理账号,Agent account,affiliate account ,0
huiYuanRiHuoDong,会员日活动,Members' Day event,member's event,0
yinHangKaChongZhi,银行卡充值活动,Bank bard top-up event,banking card deposit promotion ,0
zhenRenChuangGuanHuo,真人闯关活动,Live game event,casino break level promotion,0
laoHuJiJiuYuan,老虎机救援活动,Slot machine rescue event,slot machine rescue promotion ,0
tiYuChuangGuanHuo,体育闯关活动,Sports game event,sport break level promotion,0
shouChongHuoDong,首充活动,First top-up event,first deposit promotion,0
fanShuiHuoDong,返水活动,Rebate,rebate promotion,0
juJue,拒绝,Reject,reject,1
faHuo,发货,Shipment,delivery,0
zhaKanShouHuoDi,查看收货地址,View shipping address,check shipping address,0
shenLingShiJian,申领时间,Collection application time,apply time,0
guoQiShiJian,过期时间,Expiration time,expire time,0
wuLiuDanHao,物流单号,Shipment No.,shipping order,0
wuLiuGongSi,物流公司,Logistics company,shipping company,0
huoDongLeiXing,活动类型,Event type,promotion type,0
jiaZhi,价值,Value,value,1
yongHuZhangHao,用户账号,User account,members account,0
faHuoPaiJiangShi,发货派奖时间,Delivery and bonus payout time,delivery time,0
huoDeJiangPinShi,获得奖品时间,Prize receipt time,time of receive prize,0
benTiaoJianShengXiao,本条件生效的前提是“活动为奖品配置了等级”,Precondition: The prize level is configured for the event.,"this condition effect for ""the promotion is configured for the prize
grade""",0
jiangPinDengJi,奖品等级,Prize level,grade of prize,0
queRenBingFaSong,确认并发送站内信通知,Confirm and notify by message,confirm and send the inbox notifications,0
beiZhuChangDuBu,备注长度不能大于300位,Note cannot exceed 300 characters.,The length of the content cannot be more than 300 characters,0
qingTianXieBeiZhu,请填写备注,Enter a remark.,please fill in the remark ,0
juJueFaHuo,拒绝发货,Reject shipment,reject for delivery ,0
juJueFaFangCheng,拒绝发放成功,Distribution rejected,reject release successful ,0
wuLiuDanHaoBu,物流单号不能大于50位,The tracking number cannot exceed 50 characters.,The length of the shipping order cannot be more than 50 characters,0
qingTianXieWuLiu,请填写物流单号,Enter the tracking number.,please fill in the shipping order,0
gongSiMingChengBu,公司名称不能大于50位,The company name cannot exceed 50 characters.,company name cannot be more than 50 characters,0
qingTianXieWuLiu2,请填写物流公司名称,Enter the courier name.,kindly fill in the shipping company name ,0
shouHuoRenXinXi,收货人信息,Recipient information,recipient  information,0
jiangPinFaHuo,奖品发货,Prize delivery,prize delivery ,0
faHuoChengGong,发货成功,Shipped,shipped,1
shouHuoRen,收货人,Recipient,receiver,0
shouHuoDiZhi,收获地址,Receiving address,recipient's address,0
fuLiBianHao,福利编号,Benefit No.,benefit number,0
huoDongID,活动ID,Event ID,promotion ID,0
qingShuRuAR,请输入（AR开头）,Enter (starting with AR),please key in (start from AR),0
xinFuLiBianHao,新福利编号,New benefit No.,new benefit number,0
qingXuanZeHuoDong,请选择活动ID,Select the event ID.,please choose the promotion ID,0
paiMingHuoDong,排名活动,Ranking event,ranking of promotion ,0
saiShiTouZhuHuo,赛事投注活动,Match betting event,matches betting promotion,0
chongZhiSongLi,充值送礼,Top-up bonus,deposit gift,0
faFang,发放,Distribute,release,0
vIPDengJi,vip等级,VIP level,Level of VIP,0
yongHuYingLi,用户盈利,User profit,memeber's profit,0
yongHuTouZhu,用户投注,User bet,memeber's betting ,0
biSaiMingCheng,比赛名称,Match name,matches name ,0
biSaiRiQi,比赛日期,Match date,matches date,0
piLiangJuJue,批量拒绝,Batch reject,batch rejection,0
piLiangFaFang,批量发放,Batch distribute,batch release,0
biSaiMingZi,比赛名字,Match name,matches name ,0
kEYChengGong,{val1}成功,{val1} successful,{val1}successful,0
qingXuanZePiLiang,请选择批量操作数据,Select batch operation data.,Please select batch to access the data,0
piLiangJuJueFa,批量拒绝发放,Batch reject distribution,batch rejection of release,0
juJueFaFang,拒绝发放,Reject distribution,rejected of release,0
faFangJiangLiShi,发放奖励时间,Reward distribution time,time of release bonus,0
aWARD,{val1}元,{val1} CNY,{val1}RMB,0
jiangLiMingCheng,奖励名称,Reward name,bonus name,0
yongHuLeiJiYing,用户累计盈利,Cumulative user profit,User accumulated profit,0
yongHuLeiJiTou,用户累计投注,Cumulative user bet,User accumulated betting,0
kEYChengGong,{val1}成功,{val1} successful,{val1}successful,0
daoChuHuiZong,导出汇总,Export summary,export summary,1
suoShuPingTai,所属平台,Platform,platform belongs,0
fanLiBiLi,返利比例,Rebate ratio,rebate ratio,1
chongZhiQuDao,充值渠道,Top-up channel,the way of deposit,0
jiaZaiZhong,加载中,Loading,loading,1
chaXunRiQiQu,查询日期区间不能超过30天,The query date range cannot exceed 30 days.,The query date range cannot exceed 30 days,0
tiaoZhengYuanYin,调整原因：,Reason for adjustment:,reason of adjustment ,0
guanLianDingDanHao,关联订单号：,Associated order No.:,relevance order：,0
nBSPYuan,&nbsp;元,&nbsp; CNY,&nbsp;RMB,0
xuQiuLiuShuiJin,需求流水金额：,Required turnover amount:,required amount of turnover ,0
danBiADJ,单笔≤{val1} 元,Single transaction ≤ {val1} CNY,single≤{val1} RMB,0
tiaoZhengJinE,调整金额：,Adjustment amount:,adjust amount ,0
qingXuanZeTiaoZheng,请选择调整类型,Select the adjustment type.,kindly choose the type of adjustment ,0
tiaoZhengLeiXing,调整类型：,Adjustment type:,type of adjustment ,0
geZhangHao,个账号,account(s),an account,0
gongJi,共计：,Total:,total,0
qingShuRuXuYao,请输入需要调整资金的会员或代理账户名，多个账户名用“，”或换行隔开，若有重复账号，系统将自动去重,"Enter the account name of the member or agent for fund adjustment. In case of multiple account names, separate them with "","" or a new line. Duplicate accounts will be automatically deduplicated.","Please enter the account of the member or affiliate whose funds need to be adjusted. Multiple account names are separated by "","" or a newline. If there are duplicate accounts, the system will automatically deduplicate them.",0
queRen,确认,Confirm,confirm,1
zhangHaoFAI,账号{val1}资金调整申请成功,Fund adjustment for account {val1} requested,account{val1}fund adjustment application is successful,0
zhangHaoFAI2,账号{val1}不支持该类型,Account {val1} does not support the type.,account{val1}does not support this type,0
zhangHaoFAI3,账号{val1}不存在,Account {val1} does not exist.,account{val1}not available,0
tiaoZhengJinEBu,调整金额不能大于{val1},Adjustment amount cannot be greater than {val1}.,the fund of adjustment should not more than {val1},0
shenQingYuanYou,申请原由：,Reason for request:,the reason of apply ,0
zhangHuMing,账户名：,Account name:,account name ,0
qingXuanZeZhangHu,请选择账户类型：,Select the account type:,please choose the type of account ,0
zhangHuLeiXing,账户类型：,Account type:,type of account ,0
shenHeZhuangTai,审核状态：,Review status:,status of audit,0
xuanZeDanHaoLei,选择单号类型,Select order number type,Select the order type,0
daoZhangShiJian,到账时间,Receipt time,time of fund received ,0
xuanZeShiJianLei,选择时间类型,Select time type,selection period,0
shenHeJuJue,审核拒绝,Rejected,audit rejected,0
shenHeTongGuo,审核通过,Approved,audit succesful,0
fanYongBiLi,返佣比例,Commission ratio,commision ratio,0
youXiaoHuiYuanShu,有效会员数,Number of active members,number of valid members,0
yongJinFangAnMing,佣金方案名,Commission plan name,name of commision program,0
fanYongBiLi2,返佣比例（%）,Commission percentage (%),commision ratio（%）,0
tianJiaTiaoJian,添加条件,Add condition,add condition,1
fangAnMingChengBu,方案名称不能超过45个字符,Plan name cannot exceed 45 characters.,The length of the program cannot be more than 45 characters,0
fangAnMingChengBu2,方案名称不能为空,Plan name cannot be empty.,must fill in the name of program,0
qingShuRuFangAn,请输入方案名称,Enter the plan name.,please fill in a program name ,0
dATAI,{val1}返佣方案{val2},{val1}Rebate plan{val2},{val1}commission program{val2},0
qingTianJiaFangAn,请添加方案,Add a plan.,add on program ,0
dATABian,{val1}成功,{val1} successful,{val1}successful,0
queDingShanChuGai,确定删除该条佣金方案吗？,Delete this commission plan?,confirm delete this commision program?,0
shanChuFangAnN,删除方案（{val1}）,Delete plan ({val1}),delete this program（{val1}）,0
zuiDiJieSuanE,最低结算额,Minimum settlement amount,Minimum settlement amount,1
daiChongFanLiBi,代充返利比例,Rebate percentage for intermediary top-up,Discretionary Deposit Rebate Ratio,0
biLi,比例,Percentage,ratio,0
zhuZongE,注总额,Total stake,total amount ,0
youXiaoHuiYuanDang,有效会员当月投,Monthly bet of active members,Valid member's monthly bet,0
yueTouZhuZhuDan,月投注注单,Monthly betslip,monthly bet slip,0
youXiaoHuiYuanDang2,有效会员当,Active members,valid memeber,0
,,,,1
name,确定,OK,confirm ,0
,,,,1
dATAN,（{val1}）,({val1}),（{val1}）,0
shouXuFeiFangAn,手续费方案,Service fee plan,processing fees program ,0
shouXuFeiFangAn4,手续费方案名,Service fee plan name,processing fees program name ,0
dATABian,{val1}成功,{val1} successful,{val1}successful,0
jinEBiXuTian,金额必须填写,Amount is required.,must fill in the amount ,0
weiDaDaoZuiDi,未达到最低结算额，则累积代充返利直至达到最低结算额,"If the minimum settlement amount is not reached, the top-up rebate will be accumulated until the amount is reached.","if not meet the minimum settlement amount , the discretionary deposit rebate will be accumulated until the minimum settlement amount is reached",0
biLiBiXuTian,比例必须填写,Percentage is required.,must fill in the ratio ,0
daiChongFanLiBi2,代充返利比例（%）,Rebate percentage for intermediary top-up (%),Discretionary Deposit Rebate Ratio（%）,0
danBiDaiChongFan,单笔代充返利比例，用作与代充返利结算,"Rebate percentage for each intermediary top-up, used for top-up rebate settlement",The discretionary deposit rebate ratio of a single deposit is used for settlement with the discretionary deposit rebate,0
daiChongFanLiPei,代充返利配置,Intermediary top-up rebate configuration,Discretionary Deposit Rebate Setting,0
danBiTiKuanShou,单笔提款手续费金额上限，用作与佣金结算，0为不限制,"Max service fee for each withdrawal, used for commission settlement. 0 means no limit.","the upper limit of the processing fee amount for a single withdrawal, used for settlement with the commission, 0 means no limit",0
tiKuanShouXuFei,提款手续费比例（%）,Withdrawal service fee percentage (%),withdraw processing fees（%）,0
danBiTiKuanShou2,单笔提款手续费比例，用作与佣金结算,"Service fee percentage for each withdrawal, used for commission settlement","the ratio of the single withdrawal processing fee, which is used for settlement with the commission",0
tiKuanShouXuFei2,提款手续费配置,Withdrawal service fee configuration,withdraw processing fees set up ,0
danBiCunKuanShou,单笔存款手续费金额上限，用作与佣金结算，0为不限制,"Max service fee for each deposit, used for commission settlement. 0 means no limit.","the upper limit of the processing fee amount for a single deposit, used for settlement with the commission, 0 means no limit",0
cunKuanShouXuFei,存款手续费比例（%）,Deposit service fee percentage (%),deposit  processing fees ratio（%）,0
danBiCunKuanShou2,单笔存款手续费比例，用作与佣金结算,"Service fee percentage for each deposit, used for commission settlement","the ratio of the single deposit processing fee, which is used for settlement with the commission",0
cunKuanShouXuFei2,存款手续费配置,Deposit service fee configuration,deposit processing fees set up,0
zhuXuYaoTongShi,注：需要同时满足这2个条件，才计算为有效会员,Note: An active member must satisfy both conditions.,attn:must fulfill these two conditions at the same time only counted as a valid member,0
danShuBiXuTian,单数必须填写,The number of orders is required.,must fill in odd number,0
youXiaoHuiYuanDang3,有效会员当月投注注单数,Number of betslips by active members of the month,valid member's monthly betting orders,0
dangYueZongTouZhu,当月总投注超过这个注单数的玩家才记为有效会员,A player is an active member only when the total bets of the month exceed the number.,players whose total bets in the month exceed this number of bets are recorded as valid members,0
youXiaoHuiYuanDang4,有效会员当月投注总额,Total bet amount of active members of the month,monthly betting total of valid members,0
dangYueTouZhuZong,当月投注总额超过这个金额的玩家才记为有效会员,A player is only an active member when total bet amount of the month exceeds the amount.,monthly betting more than this amount only counted as valid members,0
youXiaoHuiYuanPei,有效会员配置,Active member configuration,valid member set up,0
buNengChaoGuoGe,不能超过45个字符,Limit to 45 characters,should not more than 45 characters,0
shouXuFeiFangAn3,手续费方案名不能为空,Service fee plan name cannot be empty.,processing fees program name should not be blank,0
queDingYaoShanChu,确定要删除该条手续费方案吗？,Delete the service fee plan?,confirm to delete this processing fees program?,0
shanChuShouXuFei,删除手续费方案（{val1}）,Delete service fee plan ({val1}),delete processing fees program（{val1}）,0
rebatePlan,返佣方案,Rebate plan,commision program,0
edit,编辑,Edit,edit,1
add,添加,Add,add on,0
cancel,取消,Cancel,cancel,1
sure,确定,OK,confirm,0
yingFaFang,应发放,Payable,should release,0
rOWLA,{val1}成功！,{val1} succeeded.,{val1}successful！,0
leiJiWeiFaFang,累计未发放,Total unpaid,Cumulative unissued,0
kouHuiZongE,扣回总额,Total deductions,total deduction,0
cuoWuDaiChong,错误代充,Intermediary top-up error,Wrong Discretionary Deposit,0
huiYuanDaiChong,会员代充,Top-up by members,Member Discretionary Deposit,0
shuJuGengXinShi,数据更新时间：{val1},Data update time: {val1},data refresh time：{val1},0
qingXuanZeCaoZuo,请选择操作审核类型,Select the operation review type.,please choose the type of audit,0
quanBuGuanBi,全部关闭,Close all,close all,1
zhuanZhangDaoHuiYuan,转账到会员账号,Transfer to member account,transfer to member account,1
daiLiZhuanZhang,代理转账,Agent transfer,affiliate transfer,0
xinJianXiaJiDai,新建下级代理,New sub agent,create a new surbodinate affiliate,0
daiLiQuanXian,代理权限,Agent permissions,affiliate permission,0
eDu,额度,Quota,amount,0
shengYuXinYong,剩余信用,Remaining credit,remaining credit,1
zhangHuYuE,账户余额,Account balance,account balance,1
guanFangChouYong,(官方抽佣),(Commission taken by the platform),(official commission taked),0
piLiangXiuGaiCeng,批量修改层级,Batch modify level,edit levels with batch ,0
piLiangJieSuo,批量解锁,Batch unlock,unlock with batch ,0
xinZengSEO,新增SEO代理,Add SEO agent,add SEO affiliate,0
qingShuRuGuanJian,请输入关键词,Enter keywords.,please enter the keywords,0
xinChuangJian,新创建,Newly created,new create,0
neiBu,内部,Internal,internal,1
yuJiYongJin,预计佣金,Expected commission,expected commision,0
huoDongHongLiXiang,活动红利详情,Event bonus details,promotion bonus details,0
jiangLiJiaZhi,奖励价值,Bonus value,value of rewards,0
jiangLiFaFangShi,奖励发放时间,Reward distribution time,bonus release time ,0
daiLiQuanXianGuan,代理权限管理,Agent permission management,affiliate authority management,0
tongIPDiZhi,同IP地址查询,Search on duplicate IP address,same IP address query,0
tongSheBeiHaoCha,同设备号查询,Search on duplicate device number,same device address query,0
jinGeYueDengLu,近3个月登陆总次数,Total logins in the last 3 months,the total times of logins in the past 3 months,0
tiShiDianJiShe,提示：点击设备号，查询相关联会员信息,Tip: Click the device number to search for the associated member information.,tip: Click the device number to query the relevance member information,0
jinGeYueDengLu2,近3个月登录总次数,Total logins in the last 3 months,the total times of logins in the past 3 months,0
zuiHouYiCiDeng,最后一次登录时间,Last login time,the last logins time ,0
sheBeiLeiXing,设备类型,Device type,type of device,0
shouJiHaoGuiShu,手机号归属地,Phone No. based in,phone made of from,0
xiuGaiFOR,修改{val1}审核中，请耐心等待！,{val1} updates under review. Please wait.,"amend{val1}is waiting for approval, please pay for patient!",0
tiaoZhengXinYongE,调整信用额度,Adjust credit limit,adjust credit amount ,0
iTEMS,{val1}必须填写,{val1} is required.,{val1}must fill in,0
gaiZhangHaoDingJi,该账号顶级代理为,The top agent for the account is,the top affiliate of this account is,0
dengLuRiZhi,登录日志,Login log,login log,1
yiChangJiLu,异常记录,Exception log,abnormal record,0
houTaiCaoZuoJi,后台操作记录,Backend operation log,backend record,0
qianTaiCaoZuoJi,前台操作记录,Frontend operation log,frontend record,0
caiWuXinXi,财务信息,Financial Information,financial information,1
pingTaiYuE,平台余额,Platform balance,platform balance,1
tiaoZhengEDu,调整额度,Adjust limit,adjust amount,0
dongJieJinE,冻结金额,Frozen amount,frozen funds,0
tiaoZhengHouEDu,调整后额度为,Updated limit,the amount after adjusted,0
dangQianEDu,当前额度,Current limit,currently credit,0
tiaoZhengKeTiXian,调整可提现额度,Adjust withdrawal limit,adjust the withdrawal amount,0
zuiGaoKeZhuan,最高可转,Transfer limit:,maximum can transfer,0
yiFaFang,已发放,Distributed,released,0
yiJuJue,已拒绝,Rejected,rejected,1
zhengZaiJieSuan,正在结算,Settling,counting,0
weiDaBiao,未达标,Requirement not met,not meet the requirement,0
yongJinXinXi,佣金信息,Commission Information,commision info,0
zhuCeXinXi,注册信息,Registration Information,register information,0
shangCiDengLuShi,上次登录时间,Last login time,last logins time ,0
zhuCeDuan,注册端,Registration device,registration side,0
zhuCeDiZhi,注册地址,Registered address,registered address,1
shouHuoXinXi,收货信息,Receipt information,delivery information,0
cengYongKaXinXi,曾用卡信息,Information of previous cards,used card information,0
zhongZhiYinHangKa,重置银行卡,Reset bank cards,reset banking card,0
bangKa,绑卡,Bind bank card,bind your card,0
gaiYongHuYiYou,该用户已有未审核的操作,This user has unreviewed operations.,this user have pending audit action,0
gongXiNiJieSuo,恭喜你，解锁层级成功,Congratulations. Level unlocked.,"congratulations,you have successfully unlocked the level",0
gongXiNiSuoDing,恭喜你，锁定层级成功,Congratulations. Level locked.,"congratulations, you have successfully locked the level",0
bianGengShangJiDai,变更上级代理审核中，请耐心等待！,Superior agent updates under review. Please wait.,"the changing of superior affiliate is waiting for approval,please be patient!",0
xiuGaiDaiLiLei,修改代理类型审核中，请耐心等待！,Agent type updates under review. Please wait.,"the changing type of affiliate is waiting for approval,please be patient!",0
gongXiNiXiuGai,恭喜你，修改用户层级成功,Congratulations. User level modified.,"congratulations,you have successfully amended the user level",0
qingXuanZeDaiLi,请选择代理类型,Select the agent type.,kindly choose the type of affiliate,0
daiLiLeiXing,代理类型,Agent type,type of affiliate,0
cengJiSuoDing,层级锁定,Level lock,level locked,0
zhangHaoZhuangTai,帐号状态,Account status,status of account,0
qingShuRuYouXiang,请输入邮箱地址,Enter an email address.,please fill in your email address,0
chuShengRiQi,出生日期,Date of birth,date of birth,1
xingBie,性别,Gender,gender,1
bangDingQianBaoDi,绑定钱包地址,Bind wallet address,bind your wallet address,0
tuiGuangXinXi,推广信息,Promotion information,generalize information,0
pREVZhuan,{val1}转账到会员账号权限审核中，请耐心等待！,Permission for {val1} to transfer to member account under review. Please wait.,"{val1}is being transferred to the member account permission for approval, please be patient!",0
pREVXiang,{val1}向下级代理转账权限审核中，请耐心等待！,Permission for {val1} to transfer to sub agent under review. Please wait.,"{val1} the transfer authority to the surbodinate affiliate is waiting for approval, please be patient!",0
pREVChuang,{val1}创建代理权限审核中，请耐心等待！,Permission for {val1} to create agents under review. Please wait.,"{val1}still waiting for approval of creating affiliate permission , please be patient!",0
pREVHui,{val1}会员代充权限审核中，请耐心等待！,Permission of top-up by members for {val1} under review. Please wait.,"{val1}member discretionary deposit is waiting for approaval,please be patient!",0
bianGengShouXuFei,变更手续费方案审核中，请耐心等待！,Service fee plan updates under reviewed. Please wait.,"The change processing fee is waiting for approval, please be patient!",0
fORMA,{val1})}人,{val1})} person(s),{val1})}people,0
xiaJiDaiLiSan,下级代理（三级）,Sub agent (level 3),surbodinate affiliate (level 3),0
xiaJiDaiLiEr,下级代理（二级）,Sub agent (level 2),surbodinate affiliate (level 2),0
xiaXianHuiYuan,下线会员,Sub members,Subordinate,0
anQuanMiMa,安全密码,Security password,security password ,0
zhuanZhangDaoHuiYuan,转账到会员账号：,Transfer to member account:,transfer fund to member account:,0
xiangXiaJiDaiLi,向下级代理转账：,Transfer to sub agent:,transfer fund to surbodinate affiliate:,0
xinJianXiaJiDai,新建下级代理：,New sub agent:,new surbodinate affiliate:,0
huiYuanDaiChong,会员代充：,Top-up by members:,Member Discretionary Deposit ,0
daiLiQuanXianKong,代理权限控制,Agent permission control,affiliate permission control,0
xiaQi,下期,Next session,next period,0
xiaYue,下月,Next month,next month ,0
benQi,本期,Current session,this period ,0
shouKuanRen,收款人,Payee,receiver,0
caoZuoHou,操作后,After operation,after process,0
caoZuoQian,操作前,Before operation,before process,0
caoZuoXiangMu,操作项目,Operation item,the project being process,0
caoZuoIPDi,操作IP地址,Operation IP address,Manipulating IP addresses,0
dengLuSheBei,登录设备,Login device,login device,1
qingShuRuDengLu,请输入登录网址,Enter the login URL.,please enter the login address,0
qingShuRuIP,请输入IP地址,Enter the IP address.,please enter the IP address,0
zhuanChuDiZhi,转出地址,Payout address,transfer out address,0
tiBiBiZhong,提币币种,Withdrawal currency,withdraw currency,0
tian,30天,30 days,thirty days,0
tian2,7天,7 days,seven days,0
taoLiChaXun,套利查询,Arbitrage query,arbitrage query,1
bianGengJiLu,变更记录,Change history,record of changing ,0
jiaoYiMingXi,交易明细,Transaction details,transaction details,1
tiXianJiLu,提现记录,Withdrawal record,withdraw record,0
geRenZhongXin,个人中心,Personal center,personal details,0
